track_name,artist(s)_name,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,track_id,date
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",553,147,0.038170370272903334,43,263,45,10,826,0,2023-07-14
LALA,Myke Towers,1474,48,0.03610081307353085,48,126,58,14,382,1,2023-03-23
vampire,Olivia Rodrigo,1397,113,0.037798402385085327,94,207,91,14,949,2,2023-06-30
Cruel Summer,Taylor Swift,7858,100,0.21621526425199158,116,207,125,12,548,3,2019-08-23
WHERE SHE GOES,Bad Bunny,3133,50,0.08186889208889073,84,133,87,15,425,4,2023-05-18
Sprinter,"Dave, Central Cee",2186,91,0.04959741172950171,67,213,88,17,946,5,2023-06-01
Ella Baila Sola,"Eslabon Armado, Peso Pluma",3090,50,0.19600390315019506,34,222,43,13,418,6,2023-03-16
Columbia,Quevedo,714,43,0.015698786871209663,25,89,30,13,194,7,2023-07-07
fukumean,Gunna,1096,83,0.025706620219902335,60,210,48,11,953,8,2023-05-15
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2953,44,0.1494728405591939,49,110,66,13,339,9,2023-03-17
un x100to,"Bad Bunny, Grupo Frontera",2876,40,0.13652359015992904,41,205,54,12,251,10,2023-04-17
Super Shy,NewJeans,422,55,0.015727343856966867,37,202,21,5,168,11,2023-07-07
Flowers,Miley Cyrus,12211,115,0.3555321923733079,300,215,745,58,1021,12,2023-01-12
Daylight,David Kushner,3528,98,0.10463802598805146,80,156,182,24,1281,13,2023-04-14
As It Was,Harry Styles,23575,130,0.6785255939698066,403,198,863,46,0,14,2022-03-31
Kill Bill,SZA,8109,77,0.3140185496840115,183,162,161,12,187,15,2022-12-08
Cupid - Twin Ver.,Fifty Fifty,2942,77,0.13412725915126444,91,212,78,6,0,16,2023-02-24
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,873,104,0.008246492723625385,80,227,95,24,1173,17,2023-07-13
Classy 101,"Feid, Young Miko",2610,40,0.09050464855955563,43,100,54,14,187,18,2023-03-31
Like Crazy,Jimin,596,68,0.09810408764389585,8,104,23,2,29,19,2023-03-24
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",332,26,0.023338173121270813,11,163,10,4,0,20,2023-06-22
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,516,38,0.01407505445854874,73,119,42,1,150,21,2023-07-07
I Wanna Be Yours,Arctic Monkeys,12859,110,0.3501785027058854,24,98,582,2,73,22,2013-01-01
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",1313,40,0.05417124530050322,17,152,32,11,139,23,2023-05-31
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",1945,87,0.031146099638546944,74,182,87,14,1093,24,2023-06-02
SABOR FRESA,Fuerza Regida,250,26,0.021139354334446428,16,149,10,5,168,25,2023-06-22
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",7112,77,0.24276640524531537,202,119,318,38,96,26,2022-03-25
MOJABI GHOST,"Tainy, Bad Bunny",859,40,0.016534640276010273,35,109,41,14,211,27,2023-06-29
Last Night,Morgan Wallen,2420,19,0.11604739387466295,52,107,15,1,325,28,2023-01-31
Dance The Night (From Barbie The Album),Dua Lipa,2988,101,0.03439792015205868,0,0,143,38,0,29,2023-05-25
Rush,Troye Sivan,864,78,0.006095857303099692,71,135,50,1,294,30,2023-07-13
TULUM,"Peso Pluma, Grupo Frontera",266,34,0.014117987132234963,20,185,13,8,197,31,2023-06-28
Creepin',"The Weeknd, 21 Savage, Metro Boomin",6036,88,0.2278561785572777,113,149,245,23,27,32,2022-12-02
Anti-Hero,Taylor Swift,9082,56,0.2699175437042242,242,142,165,9,310,33,2022-10-21
TQG,"Karol G, Shakira",4284,49,0.1671181500052208,115,123,184,18,354,34,2023-02-23
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",1150,31,0.03324061301704498,22,33,34,7,184,35,2023-06-01
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",672,34,0.051008702220606036,19,108,24,9,212,36,2023-04-07
Blank Space,Taylor Swift,11434,53,0.36608956167729967,154,123,410,2,81,37,2014-01-01
Style,Taylor Swift,7830,42,0.2122575409260441,94,111,151,4,82,38,2014-01-01
TQM,Fuerza Regida,584,28,0.047666265411660275,16,159,15,6,100,39,2023-05-19
El Azul,"Junior H, Peso Pluma",692,25,0.09570814055568039,10,107,6,3,62,40,2023-02-10
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",24094,78,0.7581467147147447,372,117,843,4,69,41,2018-10-09
I'm Good (Blue),"Bebe Rexha, David Guetta",12482,80,0.2995309565036836,291,184,537,45,727,42,2022-08-26
See You Again,"Tyler, The Creator, Kali Uchis",13387,64,0.282702206434991,77,58,247,1,311,43,2017-07-21
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",1117,80,0.01759053220551624,82,145,65,16,1133,44,2023-06-23
Angels Like You,Miley Cyrus,3372,19,0.1540304749551261,65,48,138,1,102,45,2020-11-27
I Ain't Worried,OneRepublic,8431,76,0.2931193907777954,241,127,458,37,332,46,2022-05-13
Die For You,The Weeknd,2483,59,0.4449340046039654,68,21,24,0,259,47,2016-11-24
Starboy,"The Weeknd, Daft Punk",29536,79,0.692656998338779,281,137,2445,1,140,48,2016-09-21
Die For You - Remix,"Ariana Grande, The Weeknd",3408,47,0.14005330131207122,87,86,74,1,16,49,2023-02-24
El Cielo,"Feid, Myke Towers, Sky Rompiendo",1298,38,0.029091312307030163,44,64,57,10,110,50,2023-06-02
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",4277,66,0.0479867903891694,145,111,213,11,810,51,2023-04-06
AMARGURA,Karol G,1133,39,0.04140758858002133,14,71,23,10,176,52,2023-02-24
(It Goes Like) Nanana - Edit,Peggy Gou,2259,59,0.015625097363791824,0,0,109,17,0,53,2023-06-15
Another Love,Tom Odell,18371,83,0.4896662082004938,250,122,3394,19,0,54,2012-10-15
Blinding Lights,The Weeknd,43899,69,1.0,672,199,3421,20,0,55,2019-11-29
Moonlight,Kali Uchis,2649,42,0.06924624189775849,67,79,57,1,615,56,2023-02-24
La Bachata,Manuel Turizo,6804,45,0.3277850687144924,139,111,161,15,210,57,2022-05-26
S91,Karol G,525,41,0.004322092180740486,34,115,39,6,216,58,2023-07-14
cardigan,Taylor Swift,7923,29,0.21923337035723195,106,112,142,4,215,59,2020-07-24
Tï¿½ï¿,"dennis, MC Kevin o Chris",731,15,0.030223584426932987,27,17,73,4,167,60,2023-05-04
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",5184,41,0.04220853330252006,154,84,102,14,37,61,2023-02-03
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3107,39,0.19450659395952766,38,0,4,0,0,62,2022-06-24
BESO,"Rauw Alejandro, ROSALï¿½",4053,50,0.09663427979274361,82,121,182,12,171,63,2023-03-24
Hey Mor,"Ozuna, Feid",4637,38,0.18198961827700139,63,79,89,11,16,64,2022-10-06
Yellow,Chris Molitor,31358,43,0.47388301579757164,196,2,4053,5,0,65,1999-01-01
Karma,Taylor Swift,3818,23,0.10922565774639077,37,55,32,0,272,66,2022-10-21
People,Libianca,3506,56,0.10075811188972818,105,64,169,8,529,67,2022-12-02
Overdrive,Post Malone,410,36,0.003989765834207116,36,32,31,1,26,68,2023-07-14
Enchanted (Taylor's Version),Taylor Swift,148,24,0.010684818203753436,32,93,8,2,5,69,2023-07-07
BABY HELLO,"Rauw Alejandro, Bizarrap",1004,35,0.014650355741768123,42,80,58,3,169,70,2023-06-23
Heat Waves,Glass Animals,22543,63,0.6906175408266028,386,144,707,28,0,71,2020-06-28
golden hour,JVKE,4511,36,0.20279524935605095,70,58,109,18,230,72,2022-07-15
Sweater Weather,The Neighbourhood,16413,61,0.6163161697774544,166,87,1056,1,0,73,2012-05-14
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",8506,45,0.3662531782052523,94,65,164,14,176,74,2022-07-06
Viva La Vida,Coldplay,33898,62,0.4300629966587431,233,0,4095,9,0,75,2008-01-01
Here With Me,d4vd,3246,23,0.17155177026647855,94,85,68,1,84,76,2022-07-17
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",8576,42,0.33226482422634757,216,108,331,26,154,77,2022-09-22
Yandel 150,"Yandel, Feid",3618,38,0.15812895102334715,47,74,80,14,194,78,2022-12-20
CORAZï¿½ï¿½N VA,Maria Becerra,370,20,0.011840210596273945,12,16,18,4,93,79,2023-06-22
Riptide,Vance Joy,31123,55,0.542427193277427,300,65,1003,1,0,80,1975-01-01
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2790,30,0.1622547405206526,60,96,71,0,115,81,2022-04-22
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",267,9,0.010720163183837188,9,6,25,2,72,82,2023-06-23
Back To December (Taylor's Version),Taylor Swift,139,17,0.010590525775523682,16,72,5,0,8,83,2023-07-07
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",17050,36,0.7196054678384506,492,99,798,31,0,84,2021-07-09
El Merengue,"Marshmello, Manuel Turizo",2114,44,0.060377153859326356,80,75,110,11,323,85,2023-03-03
Someone You Loved,Lewis Capaldi,17836,53,0.7795148478388052,440,125,1800,0,0,86,2018-11-08
Me Porto Bonito,"Chencho Corleone, Bad Bunny",8870,43,0.3889840564025556,104,120,141,26,49,87,2022-05-06
Makeba,Jain,6060,53,0.04467769499233757,150,148,2703,22,1451,88,2015-06-22
MONTAGEM - FR PUNK,"Ayparia, unxbected",641,50,0.015673255081396654,1,52,8,0,1170,89,2012-06-20
Fast Car,Luke Combs,1446,12,0.04240298981996969,57,97,35,0,429,90,2023-03-24
What It Is (Solo Version),Doechii,804,25,0.025683585802912513,29,76,24,0,162,91,2023-03-17
Coco Chanel,"Bad Bunny, Eladio Carrion",1962,38,0.06757822985000435,28,89,29,5,82,92,2023-03-17
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,4875,23,0.18494861980209756,19,45,0,0,10,93,2017-11-08
Still With You,Jung Kook,31,39,0.010369954297958542,2,107,8,0,0,94,2020-06-05
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2175,23,0.03902985719418508,69,145,69,2,478,95,2023-05-12
Say Yes To Heaven,Lana Del Rey,2000,46,0.034440736191684404,49,105,63,1,0,96,2023-03-17
Snooze,SZA,2839,25,0.10790918372682969,58,156,42,1,236,97,2022-12-09
Summertime Sadness,Lana Del Rey,20333,52,0.2655678575786844,89,143,1632,3,200,98,2011-01-01
Take Two,BTS,674,47,0.03198785899259158,20,106,25,4,78,99,2023-06-09
Lover,Taylor Swift,8448,23,0.23835153606917286,160,110,163,0,5,100,2012-01-01
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",2110,58,0.07732336117659784,17,119,19,2,266,101,2022-12-02
Chemical,Post Malone,2528,39,0.04665987276144113,56,91,59,3,486,102,2023-04-14
Mockingbird,Eminem,12985,61,0.33520312590556767,49,98,2394,5,204,103,2004-01-01
New Jeans,NewJeans,77,35,0.007980647251604005,8,166,4,4,34,104,2023-07-07
Primera Cita,Carin Leon,266,27,0.02087178635014268,6,40,6,6,202,105,2022-04-20
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",21097,52,0.43338780093561213,384,135,1034,37,312,106,2017-11-10
Dandelions,Ruth B.,3423,21,0.3015727178085409,41,100,59,1,32,107,2017-04-28
Bones,Imagine Dragons,4198,44,0.2262693046676245,98,108,327,17,153,108,2021-03-11
Set Fire to the Rain,Adele,14739,43,0.3141608432378204,88,112,2163,5,519,109,2011-01-01
Money Trees,"Kendrick Lamar, Jay Rock",26792,32,0.2952577105054884,69,113,695,0,458,110,2012-01-01
Tak Segampang Itu,Anggi Marito,213,6,0.04850479357025108,7,6,0,0,48,111,2022-12-02
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",58,18,0.010544528757886848,2,106,4,2,184,112,2023-06-22
Mine (Taylor's Version),Taylor Swift,99,15,0.009965020008929461,21,52,6,1,0,113,2023-07-07
Everybody Wants To Rule The World,Tears For Fears,41751,25,0.3255896096365774,101,32,2655,0,666,114,1985-02-17
No Role Modelz,J. Cole,21164,36,0.4835447840093684,80,65,476,0,14,115,2014-12-09
Tattoo,Loreen,2988,59,0.05444491362415183,74,102,145,18,925,116,2023-02-25
Rara Vez,"Taiu, Milo j",893,38,0.06697986283139,19,23,24,3,88,117,2023-02-08
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",1094,34,0.02452473866632222,40,58,47,8,203,118,2023-05-12
august,Taylor Swift,7324,22,0.16391432656749447,25,81,61,1,44,119,2020-07-24
LUNA,"Junior H, Peso Pluma",201,11,0.015075919680247983,19,117,8,1,74,120,2023-06-22
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",5120,48,0.05698006427353172,161,115,246,9,638,121,2023-03-10
Nonsense,Sabrina Carpenter,2346,27,0.09257698310749375,69,12,38,8,64,122,2022-07-15
Que Vuelvas,"Carin Leon, Grupo Frontera",763,26,0.0,21,110,21,9,71,123,2022-12-09
Por las Noches,Peso Pluma,457,24,0.08918824689630987,8,116,4,3,2,124,2021-06-11
Feliz Cumpleaï¿½ï¿½os Fe,Feid,3430,38,0.1624942110357986,45,69,52,4,3,125,2022-08-19
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",6074,52,0.5274265284848811,201,44,6551,2,0,126,2011-08-16
Watermelon Sugar,Harry Styles,21915,34,0.6270639544446885,437,115,1212,12,0,127,2019-11-17
